hour,price,hour,value,gasUsed
2023-01-19 13:00:00.000 UTC,1527.15,2023-01-19 13:00:00.000 UTC,3480.6112369647058,1.238957353e+09
2023-01-23 14:00:00.000 UTC,1636.9,2023-01-23 14:00:00.000 UTC,6127.481862852281,1.40287162e+09
2023-08-30 09:00:00.000 UTC,1717.99,2023-08-30 09:00:00.000 UTC,3372.0122445462184,1.52632269e+09
2023-07-17 17:00:00.000 UTC,1907.19,2023-07-17 17:00:00.000 UTC,4489.651564062834,1.572223462e+09
2023-04-10 19:00:00.000 UTC,1898.75,2023-04-10 19:00:00.000 UTC,4865.493723826689,1.520378282e+09
2023-03-10 12:00:00.000 UTC,1396.12,2023-03-10 12:00:00.000 UTC,5928.272544458436,1.375092945e+09
2023-01-07 00:00:00.000 UTC,1269.51,2023-01-07 00:00:00.000 UTC,5599.982159793098,1.526383401e+09
2023-05-15 17:00:00.000 UTC,1845.78,2023-05-15 17:00:00.000 UTC,5176.786175011412,1.888777754e+09
2023-08-08 20:00:00.000 UTC,1863.43,2023-08-08 20:00:00.000 UTC,4922.975583279967,1.545384759e+09
2023-09-07 21:00:00.000 UTC,1654.82,2023-09-07 21:00:00.000 UTC,7014.782229087573,1.674128381e+09
2023-08-09 19:00:00.000 UTC,1853.64,2023-08-09 19:00:00.000 UTC,5717.938014431152,1.669901939e+09
2023-03-14 14:00:00.000 UTC,1755.44,2023-03-14 14:00:00.000 UTC,21452.70436489789,1.185691849e+09
2023-06-13 16:00:00.000 UTC,1739.2,2023-06-13 16:00:00.000 UTC,9363.761708790822,1.544046486e+09
2023-07-04 18:00:00.000 UTC,1953.28,2023-07-04 18:00:00.000 UTC,1884.6945242542947,7.25465303e+08
2023-04-19 18:00:00.000 UTC,1985.17,2023-04-19 18:00:00.000 UTC,4374.89726622749,1.941676164e+09
2023-06-20 19:00:00.000 UTC,1785.62,2023-06-20 19:00:00.000 UTC,13130.573172574595,1.535849771e+09
2023-07-27 07:00:00.000 UTC,1877.11,2023-07-27 07:00:00.000 UTC,7179.759586342558,1.5398313e+09
2023-04-25 23:00:00.000 UTC,1869.83,2023-04-25 23:00:00.000 UTC,8688.746721628824,1.575752622e+09
2023-03-25 06:00:00.000 UTC,1753.63,2023-03-25 06:00:00.000 UTC,1770.377689375494,1.671626247e+09
2023-04-13 06:00:00.000 UTC,1921.34,2023-04-13 06:00:00.000 UTC,5789.552602110836,1.02667275e+09
2023-09-01 08:00:00.000 UTC,1648.68,2023-09-01 08:00:00.000 UTC,5826.422763382829,1.603044257e+09
2023-08-16 15:00:00.000 UTC,1826.53,2023-08-16 15:00:00.000 UTC,4881.139407252143,1.574639139e+09
2023-08-07 02:00:00.000 UTC,1845.23,2023-08-07 02:00:00.000 UTC,2808.9537934264563,1.728375381e+09
2023-03-05 12:00:00.000 UTC,1571.73,2023-03-05 12:00:00.000 UTC,2467.3921375304235,2.01892459e+09
2023-02-07 01:00:00.000 UTC,1625.23,2023-02-07 01:00:00.000 UTC,5254.321786809344,1.369699402e+09
2023-04-13 21:00:00.000 UTC,2012.39,2023-04-13 21:00:00.000 UTC,4630.23024040941,1.501455445e+09
2023-01-02 10:00:00.000 UTC,1219.11,2023-01-02 10:00:00.000 UTC,3595.296988058294,1.042698622e+09
2023-09-08 09:00:00.000 UTC,1644.84,2023-09-08 09:00:00.000 UTC,3344.385734354617,1.50122529e+09
2023-07-29 03:00:00.000 UTC,1876.99,2023-07-29 03:00:00.000 UTC,1897.972235222517,1.955531822e+09
2023-02-28 08:00:00.000 UTC,1623.96,2023-02-28 08:00:00.000 UTC,4113.5718989870475,1.528721492e+09
2023-04-17 15:00:00.000 UTC,2079.58,2023-04-17 15:00:00.000 UTC,14482.441694697769,1.786285765e+09
2023-06-08 12:00:00.000 UTC,1854.28,2023-06-08 12:00:00.000 UTC,4619.463247982278,1.500304715e+09
2023-06-15 06:00:00.000 UTC,1648.08,2023-06-15 06:00:00.000 UTC,5901.195954154118,1.561684887e+09
2023-05-29 02:00:00.000 UTC,1916.97,2023-05-29 02:00:00.000 UTC,9248.110948972253,1.841165932e+09
2023-03-17 21:00:00.000 UTC,1757.34,2023-03-17 21:00:00.000 UTC,4822.402910531365,1.422334639e+09
2023-08-14 23:00:00.000 UTC,1846.18,2023-08-14 23:00:00.000 UTC,12017.936492355873,1.762590622e+09
